Language Name,Year,Language Family,Endangerment Status,speaker,L1,Home,age_0_14,age_15-64,age_65_over,Lt,Ln
Atikamekw,2016-01-01,Algonquian languages,5 (Developing),6640,6295,6335,2275,4145,220,47.960502,-74.277655
Siksika (Blackfoot),2016-01-01,Algonquian languages,7 (Shifting),5645,3270,4795,755,4015,875,50.788575,-112.972441
Cree languages,2016-01-01,Algonquian languages,6b (Threatened),97815,76385,82735,21135,66370,10310,57.844751,-101.855991
Mi'kmaq,2016-01-01,Algonquian languages,6b (Threatened),9025,7055,7585,1865,6280,880,45.828799,-64.326284
Innu/Montagnais,2016-01-01,Algonquian languages,6b (Threatened),11440,10495,10760,3205,7490,745,48.676454,-70.377626
Ojibway,2016-01-01,Algonquian languages,6b (Threatened),28580,19835,21450,4200,20130,4250,45.429299,-79.918541
Oji-Cree,2016-01-01,Algonquian languages,8a (Moribund),15605,13795,13915,4260,10540,805,50.34546,-87.927117
Dakelh (Carrier),2016-01-01,Athabaskan languages,7 (Shifting),2100,1270,1285,225,1465,410,54.02068,-123.527897
Dene (Chipewyan),2016-01-01,Athabaskan languages,6b (Threatened),13060,11435,11820,3165,8735,1160,59.95501,-110.154848
North Slavey (Hare),2016-01-01,Athabaskan languages,6b (Threatened),1010,800,770,125,700,185,65.694476,-127.792353
South Slavey,2016-01-01,Athabaskan languages,7 (Shifting),1365,970,1085,145,1015,205,61.773123,-121.264121
Kaska (Nahani),2016-01-01,Athabaskan languages,7 (Shifting),365,190,240,45,250,70,59.220934,-130.325248
Tahltan,2016-01-01,Athabaskan languages,8a (Moribund),270,105,155,50,165,55,57.774518,-131.87196
Haida,2016-01-01,Haida,8b (Nearly extinct),465,155,305,105,275,85,52.829321,-132.003884
Mohawk,2016-01-01,Iroquoian languages,6b (Threatened),2420,1140,1575,575,1610,235,45.090975,-74.676745
Shuswap (Secwepemctsin),2016-01-01,Salish languages,8a (Moribund),1305,580,775,285,830,190,52.261434,-120.838256
Stoney,2016-01-01,Siouan languages,7 (Shifting),3675,3210,3280,910,2545,220,51.161330936,-114.852561647
Tlingit,2016-01-01,Tlingit,8a (Moribund),255,110,165,40,180,35,59.615890734,-133.629114002
Gitksan,2016-01-01,Tsimshian languages,6b (Threatened),1305,1000,955,125,840,340,55.262995491,-127.626300131
Nisga'a,2016-01-01,Tsimshian languages,7 (Shifting),1055,455,690,170,630,255,55.076431797,-129.450297415
Tsimshian,2016-01-01,Tsimshian languages,8a (Moribund),410,250,240,40,205,165,54.523654629,-128.551250580
Kwakiutl (Kwak'wala),2016-01-01,Wakashan languages,8a (Moribund),605,450,320,45,360,200,50.916887,-127.298863
Inuktitut,2016-01-01,Inuit languages,2 (Provincial),40620,36015,38830,13755,25170,1695,63.747255389,-68.515035761
